,zip,beds,baths,sq__ft,price
0,95838,2,1,836,59222
1,95823,3,1,1167,68212
2,95815,2,1,796,68880
3,95815,2,1,852,69307
4,95824,2,1,797,81900
5,95841,3,1,1122,89921
6,95842,3,2,1104,90895
7,95820,3,1,1177,91002
8,95670,2,2,941,94905
9,95673,3,2,1146,98937
10,95838,3,2,909,100309
11,95823,3,2,1289,106250
12,95815,1,1,871,106852
13,95822,3,1,1020,107502
14,95842,2,2,1022,108750
15,95842,2,2,1134,110700
16,95673,2,1,844,113263
17,95621,2,1,795,116250
18,95833,2,1,588,120000
19,95673,3,2,1356,121630
20,95621,3,2,1118,122000
21,95823,4,2,1329,122682
22,95660,4,2,1240,123000
23,95834,3,2,1601,124100
24,95660,3,2,901,125000
25,95843,3,2,1088,126640
26,95820,3,1,963,127281
27,95832,3,2,1119,129000
28,95827,4,2,1380,131200
29,95828,3,2,1248,132000
30,95758,2,2,1039,133000
31,95660,3,2,1152,134555
32,95827,3,2,1380,136500
33,95626,3,2,1116,138750
34,95758,2,2,1039,141000
35,95823,3,2,1418,146250
36,95660,3,2,1082,147308
37,95823,4,2,1472,148750
38,95828,4,2,1146,149593
39,95825,1,1,760,150000
40,95835,2,2,1304,152000
41,95822,3,2,1207,154000
42,95624,3,2,1056,156896
43,95843,2,2,1043,161250
44,95660,4,2,1587,161500
45,95833,4,1,1120,164000
46,95823,4,2,1580,165000
47,95823,4,1,1955,166357
48,95838,4,2,1656,166357
49,95823,3,2,1477,168000
50,95624,3,2,1188,170000
51,95828,4,2,1590,173000
52,95823,3,2,1463,174250
53,95828,4,2,1714,174313
54,95823,3,2,1185,178480
55,95632,3,2,1406,178760
56,95842,4,2,1943,179580
57,95826,3,2,1172,181000
58,95608,3,1,1152,181872
59,95823,4,3,1851,182587
60,95843,3,2,1215,182716
61,95632,3,2,1130,182750
62,95662,4,2,1603,183200
63,95632,3,1,1479,188741
64,95823,3,2,1420,189000
65,95826,3,2,1280,192067
66,95758,3,2,1586,194000
67,95843,3,2,1362,194818
68,95828,4,4,2162,195000
69,95823,3,2,1266,198000
70,95624,4,2,1715,199500
71,95630,3,2,1820,200000
72,95608,3,1,936,200000
73,95834,0,0,0,206000
74,95834,3,2,1511,208000
75,95823,4,2,1590,212864
76,95758,4,2,1596,221000
77,95835,2,2,1341,221000
78,95624,5,3,2136,223058
79,95624,4,2,1616,227887
80,95823,3,2,1478,231477
81,95670,3,2,1287,234697
82,95621,4,2,1277,235000
83,95833,4,2,1448,236000
84,95829,4,3,2235,236685
85,95655,3,2,2093,237800
86,95673,3,2,1193,240122
87,95757,3,2,2163,242638
88,95828,3,2,1269,244000
89,95833,0,0,0,244500
90,95828,3,1,958,244960
91,95624,5,3,2508,245918
92,95621,3,2,1305,250000
93,95758,4,2,1591,250000
94,95608,2,2,1326,250134
95,95757,3,2,1843,254200
96,95841,4,2,1921,254200
97,95758,5,3,2790,258000
98,95835,3,2,1541,260000
99,95820,3,1,1018,260014
100,95742,0,0,0,263500
101,95834,3,2,1672,265000
102,95726,3,2,1380,265000
103,95822,3,1,975,271742
104,95829,4,3,2372,273750
105,95822,3,2,1446,275086
106,95726,2,2,1284,280908
107,95832,4,3,3009,280987
108,95826,8,4,3612,282400
109,95758,4,2,2056,285000
110,95624,4,2,1993,287417
111,95757,3,2,1857,291000
112,95818,2,1,1126,292024
113,95827,4,4,2213,297000
114,95758,5,3,2494,297000
115,95757,3,2,1843,298000
116,95670,2,2,1520,299000
117,95835,5,3,2800,304037
118,95624,4,2,2309,311000
119,95827,5,3,2367,315537
120,95742,5,4,3516,320000
121,95742,0,0,0,320000
122,95826,4,3,1914,328360
123,95662,2,1,1690,334150
124,95757,3,3,2725,335750
125,95757,4,3,2354,335750
126,95833,0,0,0,339500
127,95630,3,2,2185,344250
128,95758,4,2,1801,346210
129,95823,3,3,1961,347029
130,95757,4,2,3134,347650
131,95823,4,3,1915,351300
132,95762,3,2,0,352000
133,95831,0,0,0,370000
134,95683,4,3,2734,370500
135,95693,3,2,2110,372000
136,95757,5,3,3164,375000
137,95835,5,3,3599,381300
138,95831,4,2,2054,381942
139,95843,4,2,1830,387731
140,95814,3,3,1627,391000
141,95757,4,3,3440,394470
142,95635,3,2,2846,395000
143,95624,4,3,2359,400186
144,95831,3,3,2052,415000
145,95757,5,3,3433,425000
146,95742,5,3,3615,430000
147,95624,0,0,0,445000
148,95630,5,3,2687,460000
149,95757,4,3,2724,461000
150,95757,4,3,3440,489332
151,95757,5,4,3508,510000
152,95630,4,2,2462,539000
153,95630,0,0,0,585000
