,state,sat17_participation,sat17_total,act17_participation,act17_composite,sat18_participation,sat18_total,act18_participation,act18_composite,sat19_participation,sat19_total,act19_participation,act19_composite
0,Alabama,0.05,1165,1.0,19.2,0.06,1166,1.0,19.1,0.07,1143,1.0,18.9
1,Alaska,0.38,1080,0.65,19.8,0.43,1106,0.33,20.8,0.41,1097,0.38,20.1
2,Arizona,0.3,1116,0.62,19.7,0.29,1149,0.66,19.2,0.31,1134,0.73,19.0
3,Arkansas,0.03,1208,1.0,19.4,0.05,1169,1.0,19.4,0.06,1141,1.0,19.3
4,California,0.53,1055,0.31,22.8,0.6,1076,0.27,22.7,0.63,1065,0.23,22.6
5,Colorado,0.11,1201,1.0,20.8,1.0,1025,0.3,23.9,1.0,1024,0.27,23.8
6,Connecticut,1.0,1041,0.31,25.2,1.0,1053,0.26,25.6,1.0,1046,0.22,25.5
7,Delaware,1.0,996,0.18,24.1,1.0,998,0.17,23.8,1.0,985,0.13,24.1
8,District of Columbia,1.0,950,0.32,24.2,0.92,977,0.32,23.6,0.94,975,0.32,23.5
9,Florida,0.83,1017,0.73,19.8,0.56,1099,0.66,19.9,1.0,999,0.54,20.1
10,Georgia,0.61,1050,0.55,21.4,0.7,1064,0.53,21.4,0.71,1058,0.49,21.4
11,Hawaii,0.55,1085,0.9,19.0,0.56,1010,0.89,18.9,0.54,1100,0.8,19.0
12,Idaho,0.93,1005,0.38,22.3,1.0,1001,0.36,22.3,1.0,993,0.31,22.5
13,Illinois,0.09,1115,0.93,21.4,0.99,1019,0.43,23.9,1.0,1013,0.35,24.3
14,Indiana,0.63,1074,0.35,22.6,0.63,1074,0.32,22.5,0.66,1080,0.29,22.5
15,Iowa,0.02,1275,0.67,21.9,0.03,1265,0.68,21.8,0.03,1244,0.66,21.6
16,Kansas,0.04,1260,0.73,21.7,0.04,1265,0.71,21.6,0.04,1241,0.72,21.2
17,Kentucky,0.04,1247,1.0,20.0,0.04,1248,1.0,20.2,0.04,1232,1.0,19.8
18,Louisiana,0.04,1198,1.0,19.5,0.04,1210,1.0,19.2,0.05,1200,1.0,18.8
19,Maine,0.95,1012,0.08,24.3,0.99,1013,0.07,24.0,0.99,1013,0.06,24.3
20,Maryland,0.69,1060,0.28,23.6,0.76,1080,0.31,22.5,0.82,1058,0.28,22.3
21,Massachusetts,0.76,1107,0.29,25.4,0.8,1125,0.25,25.5,0.81,1120,0.21,25.5
22,Michigan,1.0,1005,0.29,24.1,1.0,1011,0.22,24.2,1.0,1003,0.19,24.4
23,Minnesota,0.03,1295,1.0,21.5,0.04,1298,0.99,21.3,0.04,1284,0.95,21.4
24,Mississippi,0.02,1242,1.0,18.6,0.03,1236,1.0,18.6,0.03,1237,1.0,18.4
25,Missouri,0.03,1271,1.0,20.4,0.04,1262,1.0,20.0,0.04,1236,0.82,20.8
26,Montana,0.1,1196,1.0,20.3,0.1,1198,1.0,20.0,0.09,1199,1.0,19.8
27,Nebraska,0.03,1253,0.84,21.4,0.03,1252,1.0,20.1,0.03,1260,1.0,20.0
28,Nevada,0.26,1116,1.0,17.8,0.23,1140,1.0,17.7,0.2,1156,1.0,17.9
29,New Hampshire,0.96,1052,0.18,25.5,0.96,1063,0.16,25.1,0.95,1059,0.14,25.0
30,New Jersey,0.7,1056,0.34,23.9,0.82,1094,0.31,23.7,0.82,1090,0.25,24.2
31,New Mexico,0.11,1138,0.66,19.7,0.16,1093,0.67,19.4,0.18,1073,0.63,19.3
32,New York,0.67,1052,0.31,24.2,0.79,1068,0.27,24.5,0.79,1064,0.22,24.5
33,North Carolina,0.49,1081,1.0,19.1,0.52,1098,1.0,19.1,0.51,1100,1.0,19.0
34,North Dakota,0.02,1256,0.98,20.3,0.02,1283,0.98,20.3,0.02,1263,0.96,19.9
35,Ohio,0.12,1149,0.75,22.0,0.18,1099,1.0,20.3,0.19,1097,1.0,20.0
36,Oklahoma,0.07,1047,1.0,19.4,0.08,1062,1.0,19.3,0.22,963,1.0,18.9
37,Oregon,0.43,1108,0.4,21.8,0.48,1117,0.42,21.3,0.51,1112,0.42,21.1
38,Pennsylvania,0.65,1071,0.23,23.7,0.7,1086,0.2,23.5,0.7,1082,0.17,23.6
39,Rhode Island,0.71,1062,0.21,24.0,0.97,1018,0.15,24.2,1.0,995,0.12,24.7
40,South Carolina,0.5,1064,1.0,18.7,0.55,1070,1.0,18.3,0.68,1030,0.78,18.8
41,South Dakota,0.03,1216,0.8,21.8,0.03,1240,0.77,21.9,0.03,1268,0.75,21.6
42,Tennessee,0.05,1228,1.0,19.8,0.06,1231,1.0,19.6,0.07,1220,1.0,19.4
43,Texas,0.62,1020,0.45,20.7,0.66,1032,0.45,20.7,0.68,1022,0.39,20.5
44,Utah,0.03,1238,1.0,20.3,0.04,1010,1.0,20.4,0.04,1230,1.0,20.3
45,Vermont,0.6,1114,0.29,23.6,0.64,1120,0.24,24.1,0.66,1106,0.2,24.1
46,Virginia,0.65,1102,0.29,23.8,0.68,1117,0.24,23.9,0.68,1119,0.21,24.0
47,Washington,0.64,1075,0.29,21.9,0.69,1081,0.24,22.2,0.7,1074,0.24,22.1
48,West Virginia,0.14,1086,0.69,20.4,0.28,999,0.65,20.3,0.99,943,0.49,20.8
49,Wisconsin,0.03,1291,1.0,20.5,0.03,1294,1.0,20.5,0.03,1283,1.0,20.3
50,Wyoming,0.03,1230,1.0,20.2,0.03,1257,1.0,20.0,0.03,1238,1.0,19.8
